future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030,0.07,0.04,200000000,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000,2000000000,300000000,700000000,5000000000,1000000000,2000000000,1000000000,600000000,4000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,400000000000.0,8244578083244.187,2000000000.0,300000000.0,1820000.0000000002,4000000000.0,1.0,2000000000.0,698252498.2500004,600000000.0,163200000.0,101443883743.875,72996.56111074323,954.77889022,356.94669004499997,0.0,20000000.0,599999999.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,1999999999.0,698252497.0,0.0,27300000.0,150000000000.0,33000000010.0,10507500000.0,172500149995.0,20000000010.0,13965049975.000002,10.000000000000002
1,4.7,8.3,12.5,4.767,2045,0.08,0.17,1000000000,-0.23,-0.033,0.017,0.094,0.083,-0.028,0.033,-0.034,1100000000000,5440000000,1560000000,700000000,15500000000,1900000000,2400000000,1000000000,2310000000,20000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.0,8.3,0.5,2.733,2045,0.08,0.17,600000000,-0.23,0.083,0.017,0.139,0.106,-0.05,-0.017,-0.083,500000000000,3290000000,5340000000,5460000000,17000000000,2800000000,3200000000,5200000000,2120000000,4000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,500000000000.0,6615905426762.699,3290000000.0,5340000000.0,1820000.0000000002,4000000000.0,1.0,1.0,1.0,2120000000.0,286400000.0,200000000000.0,93682.41263516758,3494.754098896332,1002.6416905548408,0.0,311979178.0,2119999999.0,0.0,0.0,0.0,0.0,0.0,0.0,1131979178.0,2119999999.0,0.0,2189106287.0,0.0,0.0,0.0,0.0,1310000000.0,2119999999.0,5339500000.0,3999990000.0,0.0,0.0,0.0,27300000.0,193679167114.03406,116600000010.0,90907499990.0,98786032855.966,10.000000000000002,10.000000000000002,10.000000000000002
3,6.467,2.5,4.5,6.8,2030,0.07,0.17,400000000,-0.202,0.1,-0.083,0.117,0.05,-0.028,0.0,-0.01,1000000000000,2430000000,3450000000,10220000000,12500000000,2800000000,3000000000,1000000000,1170000000,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,1000000000000.0,20309438077795.934,2430000000.0,3450000000.0,1790210781.9245582,11586721515.997208,1.0,3000000000.0,1000000000.0,1170000000.0,400000000.0,476156640219.7697,127463.84135080081,4238.116187974838,1408.2041165134995,1788390782.0,450000000.0,1169999999.0,3449500000.0,1407605013.0,0.0,0.0,0.0,1788390782.0,450000000.0,1169999999.0,3449500000.0,8977965587.0,0.0,285220082.0,0.0,1788390782.0,450000000.0,1169999999.0,3449500000.0,11586711516.0,2999999999.0,999999999.0,0.0,66363880893.39269,182199999995.0,87750000010.0,225507499990.0,370804785538.5093,49521632721.33336,17852200841.764668,10.000000000000002
4,10.0,6.367,12.5,2.733,2030,0.07,0.04,600000000,-0.063,0.017,-0.05,0.061,0.094,-0.05,0.083,-0.23,900000000000,4580000000,930000000,10220000000,15500000000,6400000000,3000000000,10800000000,1550000000,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,900000000000.0,14177747676664.084,4400000000.0,930000000.0,6178927054.28,7617934937.879999,1.0,1.0,10800000000.0,1550000000.0,588919305.256376,528478746894.0,200831.04842969618,2311.18221800025,996.822694149,0.0,1599999999.0,0.0,0.0,0.0,0.0,0.0,0.0,1795041992.0,2419999999.0,1549999999.0,929500000.0,3917914896.0,0.0,7618313598.0,0.0,6177107054.0,2420000000.0,1549999999.0,929500000.0,7617924938.0,0.0,10799999999.0,0.0,114195515775.0,279399999945.0,62000000010.0,23257500000.0,153963848251.97192,10.000000000000002,267183135998.02814,10.000000000000002
5,6.467,8.3,8.5,2.733,2045,0.07,0.04,1000000000,-0.23,0.033,-0.017,0.083,0.106,-0.05,0.1,-0.108,700000000000,5440000000,3450000000,3080000000,18500000000,1000000000,2800000000,10800000000,600000000,16000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,700000000000.0,10033960831478.86,4400000000.0,3450000000.0,3080000000.0,6986049858.316529,1.0,1.0,10800000000.0,600000000.0,471719089.1782359,373475922168.6649,159578.28013943115,1903.832307879867,840.9494968932855,0.0,1200000000.0,599999999.0,0.0,0.0,0.0,0.0,0.0,152651592.0,2020000000.0,599999999.0,949500000.0,3385041422.0,0.0,0.0,0.0,3078180000.0,2420000000.0,599999999.0,3449500000.0,6986039858.0,0.0,10799999999.0,0.0,61044373874.38768,257400000000.0,36000000010.0,73757500000.0,130798126085.61234,10.000000000000002,141000000010.0,10.000000000000002
6,4.7,8.3,12.5,6.8,2045,0.07,0.04,400000000,-0.202,-0.017,0.15,0.128,0.061,-0.05,0.033,-0.206,400000000000,4150000000,2190000000,4270000000,8000000000,2800000000,2600000000,5200000000,1360000000,8000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,400000000000.0,5177119479141.376,4080551998.628825,500000.0,3000000001.0,6012825728.187654,1.0,1.0,1.0,1360000000.0,400000000.0,141301404612.40985,118655.2083680987,1470.5177322343561,590.8931220105026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011005729.0,500551999.0,1359999999.0,0.0,2499989999.0,0.0,0.0,0.0,2998180001.0,2100551999.0,1359999999.0,0.0,6012815728.0,0.0,0.0,0.0,60027300019.99999,173830359924.58545,47600000010.0,7500000.0,118534840015.41455,10.000000000000002,10.000000000000002,10.000000000000002
7,8.233,6.367,0.5,2.733,2050,0.07,0.04,400000000,-0.008,0.05,-0.017,0.139,0.072,-0.017,-0.033,-0.034,900000000000,4150000000,5970000000,11410000000,17000000000,6400000000,3600000000,8000000000,1170000000,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,900000000000.0,15449564067588.727,3579999999.0000005,5970000000.0,5267617329.624572,6991193840.415267,1.0,3600000000.0,234754281.54449335,1170000000.0,400000000.0,300000411697.99994,212206.12823459986,4685.875421952437,1750.093881960982,0.0,1599999999.0,1169999999.0,0.0,160140061.0,0.0,0.0,0.0,4222060867.0,1599999999.0,1169999999.0,5969500000.0,1737440866.0,0.0,0.0,0.0,5265797330.0,1599999999.0,1169999999.0,5969500000.0,6991183840.0,3599999999.0,234754281.0,0.0,177269202332.59677,228354054509.75922,87750000010.0,216607499990.0,113324157496.75424,72000000010.0,4695085640.889867,10.000000000000002
8,4.7,2.5,12.5,4.767,2040,0.07,0.04,200000000,-0.091,-0.033,-0.05,0.05,0.106,-0.006,-0.033,-0.108,700000000000,4580000000,4080000000,3080000000,15500000000,6400000000,2000000000,10800000000,1550000000,4000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,700000000000.0001,12931447964169.895,2857142857.142857,4080000000.0,1820000.0000000002,4000000000.0,1.0,2000000000.0,6481050296.615693,1550000000.0,200000000.0,373475833819.835,93367.88789220023,3465.148302690469,1014.0728990291789,0.0,877142857.0,1549999999.0,0.0,0.0,0.0,0.0,0.0,0.0,877142857.0,1549999999.0,4005285518.0,3999990000.0,0.0,0.0,0.0,0.0,877142857.0,1549999999.0,4079500000.0,3999990000.0,1999999999.0,6481050296.0,0.0,27300000.0,192500000000.00006,108500000010.0,109165355179.3255,142401667318.97235,25189923022.4668,122215754459.23538,10.000000000000002
9,6.467,6.367,12.5,2.733,2050,0.07,0.17,1000000000,-0.036,0.017,0.083,0.094,0.139,-0.028,0.05,-0.108,1000000000000,3720000000,4080000000,700000000,5000000000,1000000000,2000000000,3800000000,600000000,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
