future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030,0.07,0.04,200000000,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,4E+11,2000000000,300000000,700000000,5000000000,1000000000,2000000000,1000000000,600000000,4000000000,1,4E+11,8.24458E+12,2000000000,300000000,1820000,4000000000,1,2000000000,698252498.3,600000000,163200000,1.01444E+11,72996.56111,954.7788902,356.94669,0,20000000,599999999,0,0,0,0,0,0,20000000,599999999,299500000,3999990000,0,0,0,0,20000000,599999999,299500000,3999990000,1999999999,698252497,0,27300000,1.5E+11,33000000010,10507500000,1.725E+11,20000000010,13965049975,10
1,4.7,8.3,12.5,4.767,2045,0.08,0.17,1000000000,-0.23,-0.033,0.017,0.094,0.083,-0.028,0.033,-0.034,1.1E+12,5440000000,1560000000,700000000,15500000000,1900000000,2400000000,1000000000,2310000000,20000000000,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,8.3,0.5,2.733,2045,0.08,0.17,600000000,-0.23,0.083,0.017,0.139,0.106,-0.05,-0.017,-0.083,5E+11,3290000000,5340000000,5460000000,17000000000,2800000000,3200000000,5200000000,2120000000,4000000000,1,5E+11,6.61591E+12,3290000000,5340000000,1820000,4000000000,1,1,1,2120000000,286400000,2E+11,93682.41264,3494.754099,1002.641691,0,311979178,2119999999,0,0,0,0,0,0,1131979178,2119999999,0,2189106287,0,0,0,0,1310000000,2119999999,5339500000,3999990000,0,0,0,27300000,1.93679E+11,1.166E+11,90907499990,98786032856,10,10,10
3,6.467,2.5,4.5,6.8,2030,0.07,0.17,400000000,-0.202,0.1,-0.083,0.117,0.05,-0.028,0,-0.01,1E+12,2430000000,3450000000,10220000000,12500000000,2800000000,3000000000,1000000000,1170000000,12000000000,1,1E+12,2.03094E+13,2430000000,3450000000,1790210782,11586721516,1,3000000000,1000000000,1170000000,400000000,4.76157E+11,127463.8414,4238.116188,1408.204117,1788390782,450000000,1169999999,3449500000,1407605013,0,0,0,1788390782,450000000,1169999999,3449500000,8977965587,0,285220082,0,1788390782,450000000,1169999999,3449500000,11586711516,2999999999,999999999,0,66363880893,1.822E+11,87750000010,2.25507E+11,3.70805E+11,49521632721,17852200842,10
4,10,6.367,12.5,2.733,2030,0.07,0.04,600000000,-0.063,0.017,-0.05,0.061,0.094,-0.05,0.083,-0.23,9E+11,4580000000,930000000,10220000000,15500000000,6400000000,3000000000,10800000000,1550000000,12000000000,1,9E+11,1.41777E+13,4400000000,930000000,6178927054,7617934938,1,1,10800000000,1550000000,588919305.3,5.28479E+11,200831.0484,2311.182218,996.8226941,0,1599999999,0,0,0,0,0,0,1795041992,2419999999,1549999999,929500000,3917914896,0,7618313598,0,6177107054,2420000000,1549999999,929500000,7617924938,0,10799999999,0,1.14196E+11,2.794E+11,62000000010,23257500000,1.53964E+11,10,2.67183E+11,10
5,6.467,8.3,8.5,2.733,2045,0.07,0.04,1000000000,-0.23,0.033,-0.017,0.083,0.106,-0.05,0.1,-0.108,7E+11,5440000000,3450000000,3080000000,18500000000,1000000000,2800000000,10800000000,600000000,16000000000,1,7E+11,1.0034E+13,4400000000,3450000000,3080000000,6986049858,1,1,10800000000,600000000,471719089.2,3.73476E+11,159578.2801,1903.832308,840.9494969,0,1200000000,599999999,0,0,0,0,0,152651592,2020000000,599999999,949500000,3385041422,0,0,0,3078180000,2420000000,599999999,3449500000,6986039858,0,10799999999,0,61044373874,2.574E+11,36000000010,73757500000,1.30798E+11,10,1.41E+11,10
6,4.7,8.3,12.5,6.8,2045,0.07,0.04,400000000,-0.202,-0.017,0.15,0.128,0.061,-0.05,0.033,-0.206,4E+11,4150000000,2190000000,4270000000,8000000000,2800000000,2600000000,5200000000,1360000000,8000000000,1,4E+11,5.17712E+12,4080551999,500000,3000000001,6012825728,1,1,1,1360000000,400000000,1.41301E+11,118655.2084,1470.517732,590.893122,0,0,0,0,0,0,0,0,1011005729,500551999,1359999999,0,2499989999,0,0,0,2998180001,2100551999,1359999999,0,6012815728,0,0,0,60027300020,1.7383E+11,47600000010,7500000,1.18535E+11,10,10,10
7,8.233,6.367,0.5,2.733,2050,0.07,0.04,400000000,-0.008,0.05,-0.017,0.139,0.072,-0.017,-0.033,-0.034,9E+11,4150000000,5970000000,11410000000,17000000000,6400000000,3600000000,8000000000,1170000000,12000000000,1,9E+11,1.54496E+13,3579999999,5970000000,5267617330,6991193840,1,3600000000,234754281.5,1170000000,400000000,3E+11,212206.1282,4685.875422,1750.093882,0,1599999999,1169999999,0,160140061,0,0,0,4222060867,1599999999,1169999999,5969500000,1737440866,0,0,0,5265797330,1599999999,1169999999,5969500000,6991183840,3599999999,234754281,0,1.77269E+11,2.28354E+11,87750000010,2.16607E+11,1.13324E+11,72000000010,4695085641,10
8,4.7,2.5,12.5,4.767,2040,0.07,0.04,200000000,-0.091,-0.033,-0.05,0.05,0.106,-0.006,-0.033,-0.108,7E+11,4580000000,4080000000,3080000000,15500000000,6400000000,2000000000,10800000000,1550000000,4000000000,1,7E+11,1.29314E+13,2857142857,4080000000,1820000,4000000000,1,2000000000,6481050297,1550000000,200000000,3.73476E+11,93367.88789,3465.148303,1014.072899,0,877142857,1549999999,0,0,0,0,0,0,877142857,1549999999,4005285518,3999990000,0,0,0,0,877142857,1549999999,4079500000,3999990000,1999999999,6481050296,0,27300000,1.925E+11,1.085E+11,1.09165E+11,1.42402E+11,25189923022,1.22216E+11,10
9,6.467,6.367,12.5,2.733,2050,0.07,0.17,1000000000,-0.036,0.017,0.083,0.094,0.139,-0.028,0.05,-0.108,1E+12,3720000000,4080000000,700000000,5000000000,1000000000,2000000000,3800000000,600000000,12000000000,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
