future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030,0.07,0.04,200000000.0,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000.0,2000000000.0,300000000.0,700000000.0,10000.0,1000000000.0,2000000000.0,1000000000.0,600000000.0,4000000000.0,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,400000000000.0,14142773930706.5,2000000000.0,300000000.0,700000000.0,10000.0,1.0,2000000000.0,1000000000.0,600000000.0000001,168000058.0,8500235000.0,96482.4866456724,1485.6688902199999,557.136690045,698180000.0,20000000.0,599999999.0,299500000.0,0.0,1999999999.0,176434995.0,0.0,698180000.0,20000000.0,599999999.0,299500000.0,0.0,1999999999.0,999999999.0,0.0,698180000.0,20000000.0,599999999.0,299500000.0,0.0,1999999999.0,999999999.0,0.0,42027300000.0,150200000000.0,45000000010.0,21007500000.0,850000.0000000001,100000000010.0,41764349970.00001,10.000000000000002
1,12.0,12.0,12.0,12.0,2050,0.09,0.17,200000000.0,-0.036,0.0,0.05,0.139,0.15,-0.017,-0.033,-0.083,500000000000.0,6300000000.0,300000000.0,700000000.0,6670000000.0,3000000000.0,3110000000.0,10300000000.0,2500000000.0,16000000000.0,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6.467,2.5,8.5,2.733,2035,0.07,0.105,300000000.0,-0.063,0.05,0.9,0.05,0.117,0.05,-0.017,-0.132,400000000000.0,2480000000.0,4500000000.0,8630000000.0,8330000000.0,8000000000.0,3780000000.0,2560000000.0,2290000000.0,8000000000.0,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,400000000000.0,5479238911525.296,2480000000.0,4500000000.0,1257142857.142857,10000.0,1.0,3780000000.0,1.0,2290000000.0,300000000.0,160650000000.0,97513.21565621784,3299.3888902199997,966.0066900449999,0.0,0.0,2289999999.0,0.0,0.0,0.0,0.0,0.0,1255322857.0,420000000.0,2289999999.0,0.0,0.0,0.0,0.0,0.0,1255322857.0,500000000.0,2289999999.0,4499500000.0,0.0,3779999999.0,0.0,0.0,43227300000.00001,151000000000.0,114500000010.0,55007500000.0,150000.00000000003,36265049970.0,10.000000000000002,10.000000000000002
3,8.233,6.367,8.5,2.733,2040,0.07,0.17,900000000.0,-0.091,-0.017,0.117,0.15,0.128,0.028,0.083,-0.157,1000000000000.0,5340000000.0,5900000000.0,11300000000.0,10000000000.0,2000000000.0,2440000000.0,15000000000.0,2080000000.0,12000000000.0,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,1000000000000.0001,13588424742082.357,4400000000.0,5900000000.0,3795070841.102337,5676194799.368395,1.0,1.0,15000000000.0,2080000000.0,900000000.0000007,438635558916.0,202955.3682756466,4626.713845172028,1600.0255459025557,0.0,1089426955.0,2079999999.0,0.0,0.0,0.0,0.0,0.0,3793250841.0,1909426955.0,2079999999.0,2499500000.0,3919952700.0,0.0,0.0,0.0,3793250841.0,2420000000.0,2079999999.0,5899500000.0,5676184799.0,0.0,14999999999.0,0.0,141651113151.10263,251318482528.7237,124800000010.0,126007500000.0,131222904275.17368,10.000000000000002,225000000015.0,10.000000000000002
4,10.0,8.3,12.5,0.7,2050,0.09,0.04,700000000.0,-0.147,-0.033,-0.017,0.117,0.072,-0.006,0.1,-0.23,700000000000.0,3430000000.0,1000000000.0,9960000000.0,13300000000.0,1000000000.0,2220000000.0,7220000000.0,600000000.0,20000000000.0,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,700000000000.0001,10536981263661.432,3430000000.0,1000000000.0,9387823476.50735,5494610002.15,1.0,1.0,7220000000.0,600000000.0,700000000.0,300000500107.5,218726.0518018073,1750.5475251341104,977.5169639425603,0.0,800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4386003477.0,1450000000.0,599999999.0,0.0,1275035066.0,0.0,2219999999.0,0.0,9386003477.0,1450000000.0,599999999.0,999500000.0,5494600002.0,0.0,7219999999.0,0.0,198184540677.70013,217150000000.0,24000000010.0,20007500000.0,85157959282.3,10.000000000000002,155500000009.99997,10.000000000000002
5,8.233,2.5,4.5,0.01,2050,0.07,0.105,400000000.0,-0.008,0.033,-0.117,0.106,0.083,-0.039,0.9,-0.181,1100000000000.0,2000000000.0,6600000000.0,7310000000.0,18300000000.0,4000000000.0,2890000000.0,15400000000.0,1660000000.0,8000000000.0,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,1100000000000.0,18274824502094.695,2000000000.0,6600000000.0,2173256773.7998214,6409740614.465551,1.0,1.0,15400000000.0,1660000000.0,400000000.0,264626972394.47446,97825.52746026825,4107.383972766784,1272.3290693777901,0.0,20000000.0,1659999999.0,0.0,0.0,0.0,0.0,0.0,581177388.0,20000000.0,1659999999.0,6599500000.0,1718735655.0,0.0,15399999999.0,0.0,2171436774.0,20000000.0,1659999999.0,6599500000.0,6409730614.0,0.0,15399999999.0,0.0,43492435475.99642,149900000000.0,99600000010.0,193507500000.0,113062424677.1293,10.000000000000002,500437639816.87415,10.000000000000002
6,10.0,4.433,0.5,4.767,2035,0.07,0.17,800000000.0,-0.174,0.017,-0.083,0.128,0.05,-0.028,0.0,-0.034,500000000000.0,4870000000.0,5200000000.0,4670000000.0,11700000000.0,9000000000.0,4000000000.0,13400000000.0,811000000.0,20000000000.0,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,500000000000.0,6460363235757.213,4400000000.0,4173392168.489998,1820000.0000000002,9810903715.289999,1.0,1.0,1.0,811000000.0,364903241.548682,490545185764.49994,103604.61148310472,1505.8361269442696,573.9240728688449,0.0,400000000.0,810999999.0,0.0,0.0,0.0,0.0,0.0,0.0,1220000000.0,810999999.0,0.0,4530488027.0,0.0,0.0,0.0,0.0,2420000000.0,810999999.0,4172892168.0,9810893715.0,0.0,0.0,0.0,27300000.0,213400000000.0,40550000010.0,50108382527.34996,195914317432.65002,10.000000000000002,10.000000000000002,10.000000000000002
7,4.7,4.433,0.5,6.8,2030,0.08,0.04,300000000.0,-0.202,0.083,-0.05,0.094,0.061,-0.05,0.9,-0.108,600000000000.0,4390000000.0,3800000000.0,3340000000.0,20000000000.0,6000000000.0,3560000000.0,15400000000.0,1870000000.0,4000000000.0,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,599999999999.9999,7924833964320.526,3460000000.0,3800000000.0,1820000.0000000002,4000000000.0,1.0,1.0,13336914094.862797,1870000000.0,300000000.0,528478481844.665,92082.94827970337,2857.740013828069,827.6015304303246,0.0,154997044.0,1869999999.0,0.0,0.0,0.0,0.0,0.0,0.0,974997044.0,1869999999.0,0.0,2499990000.0,0.0,0.0,0.0,0.0,1480000000.0,1869999999.0,3799500000.0,3999990000.0,0.0,13336914094.0,0.0,27300000.0,190274866999.02057,102850000010.0,50507499995.0,92500150000.0,10.000000000000002,163840182975.9794,10.000000000000002
8,8.233,2.5,0.5,0.1,2030,0.09,0.105,1000000000.0,-0.23,0.067,0.083,0.083,0.094,0.017,0.033,-0.059,800000000000.0,5340000000.0,1700000000.0,5990000000.0,5000000000.0,10000000000.0,2670000000.0,5670000000.0,1440000000.0,16000000000.0,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,800000000000.0,10850222397046.262,4400000000.0,1700000000.0,5990000000.0,5000000000.0,1.0,2670000000.0,5670000000.0,1440000000.0,1000000000.0,215335000000.00003,233634.51673872562,3300.5526997461848,1347.3633567132133,0.0,800000000.0,1439999999.0,0.0,0.0,0.0,0.0,0.0,5988180000.0,1620000000.0,1439999999.0,0.0,2499989999.0,0.0,0.0,0.0,5988180000.0,2420000000.0,1439999999.0,1699500000.0,4999990000.0,2669999999.0,5669999999.0,0.0,208665395238.64764,235400000000.0,86400000010.0,34007500000.0,112500149985.0,26700000010.0,96326954746.35236,10.000000000000002
9,4.7,8.3,12.5,4.767,2045,0.08,0.04,900000000.0,-0.119,-0.05,-0.15,0.061,0.139,0.006,0.017,-0.01,1000000000000.0,3910000000.0,2400000000.0,11300000000.0,16700000000.0,5000000000.0,3330000000.0,8780000000.0,1020000000.0,12000000000.0,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,1000000000000.0002,24307945482913.375,3910000000.0,2400000000.0,10000000000.0,6987426972.290853,1.0,1.0,8780000000.0,1020000000.0,724400000.0,373475833848.835,266133.31163096667,4046.9367874364557,1690.1774137876923,0.0,1599999999.0,1019999999.0,2399500000.0,459222387.0,0.0,0.0,0.0,7570299268.0,1930000000.0,1019999999.0,2399500000.0,1210873363.0,0.0,3757009181.0,0.0,9998180000.0,1930000000.0,1019999999.0,2399500000.0,6987416972.0,0.0,8779999999.0,0.0,239095415641.6759,266699999955.0,76500000010.0,132007500000.0,98727038466.81277,10.000000000000002,186970045906.51144,10.000000000000002
