future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030,0.07,0.04,200000000,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000.0,2000000000,300000000,700000000,5000000000,1000000000,2000000000,1000000000,600000000.0,4000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,400000000000.0,8244578083244.187,2000000000.0,300000000.0,1820000.0000000002,4000000000.0,1.0,2000000000.0,698252498.2500004,600000000.0,163200000.0,101443883743.875,72996.56111074323,954.77889022,356.94669004499997,0.0,20000000.0,599999999.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,1999999999.0,698252497.0,0.0,27300000.0,150000000000.0,33000000010.0,10507500000.0,172500149995.0,20000000010.0,13965049975.000002,10.000000000000002
1,6.467,6.367,12.5,6.8,2040,0.09,0.17,200000000,-0.036,0.0,0.05,0.139,0.15,-0.017,-0.033,-0.083,500000000000.0,6300000000,300000000,700000000,6666666667,3000000000,3111111111,10333333333,2500000000.0,16000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,500000000000.0,6444648979875.499,1980000000.0,300000000.0,1820000.0000000002,6666666667.000001,1.0,1416415538.125004,1.0,2500000000.0,200000000.0,304092637810.25775,67300.5041460853,3468.1718531818406,852.8378011546934,0.0,0.0,2499999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499999999.0,0.0,4990408318.0,0.0,0.0,0.0,0.0,0.0,2499999999.0,299500000.0,6666656667.0,1416415537.0,0.0,0.0,27300000.0,137992592591.41113,150000000010.0,4507500000.0,193308451987.3388,14164155391.25004,10.000000000000002,10.000000000000002
2,6.467,2.5,8.5,2.733,2035,0.07,0.105,300000000,-0.063,0.05,0.15,0.05,0.117,0.05,-0.017,-0.132,400000000000.0,2477777778,4500000000,8633333333,8333333333,8000000000,3777777778,2555555556,2288888889.0,8000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,400000000000.0,5614979293965.815,2477777778.0,4500000000.0,1790476190.4761906,10000.0,1.0,3777777778.000001,1.0,2288888889.0,300000000.0,160555555565.00003,98762.60356087568,3349.1066416638805,989.8248382206666,0.0,0.0,2288888888.0,0.0,0.0,0.0,0.0,0.0,1788656190.0,0.0,2288888888.0,0.0,0.0,0.0,0.0,0.0,1788656190.0,497777778.0,2288888888.0,4499500000.0,0.0,3777777777.0,0.0,0.0,58532591003.80952,135344444450.0,114444444460.0,55007500000.0,150000.00000000003,36670870066.19049,10.000000000000002,10.000000000000002
3,8.233,6.367,8.5,2.733,2040,0.07,0.17,900000000,-0.091,-0.017,0.117,0.15,0.128,0.028,0.083,-0.157,1000000000000.0,5344444444,5900000000,11277777778,10000000000,2000000000,2444444444,15000000000,2077777778.0,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,1000000000000.0,13566055398755.846,4400000000.0,5900000000.0,3753712358.7514696,5676194799.368395,1.0,1.0,15000000000.0,2077777778.0000002,900000000.0,438635558916.0,200504.9428692896,4600.66880897804,1585.3867777496293,0.0,1121034704.0,2077777777.0,0.0,0.0,0.0,0.0,0.0,3751892359.0,1941034704.0,2077777777.0,2499500000.0,3919952700.0,0.0,0.0,0.0,3751892359.0,2420000000.0,2077777777.0,5899500000.0,5676184799.0,0.0,14999999999.0,0.0,135892227558.10037,253056908734.95694,124666666690.0,126007500000.0,135376697001.94278,10.000000000000002,224999999995.0,10.000000000000002
4,10.0,8.3,12.5,0.7,2050,0.09,0.04,700000000,-0.147,-0.033,-0.017,0.117,0.072,-0.006,0.1,-0.23,700000000000.0,3433333333,1000000000,9955555556,13333333333,1000000000,2222222222,7222222222,600000000.0,20000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,700000000000.0001,10536405502767.5,3433333333.0,1000000000.0,9380346032.81065,5494454446.61,1.0,1.0,7222222222.000001,600000000.0,700000000.0,300000500107.5,218688.68098029183,1750.0461918509102,977.2389639703601,0.0,800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4378526033.0,1453333333.0,599999999.0,0.0,1274879511.0,0.0,2222222221.0,0.0,9378526033.0,1453333333.0,599999999.0,999500000.0,5494444447.0,0.0,7222222221.0,0.0,198049540691.20007,217233333325.0,24000000010.0,20007500000.0,85154070393.8,10.000000000000002,155555555560.0,10.000000000000002
5,8.233,2.5,4.5,6.8,2050,0.07,0.105,400000000,-0.008,0.033,-0.117,0.106,0.083,-0.039,-0.05,-0.181,1100000000000.0,2000000000,6600000000,7311111111,18333333333,4000000000,2888888889,1000000000,1655555556.0,8000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,1100000000000.0,38619117330604.46,2000000000.0,6600000000.0,3524134693.901222,4462436221.773771,1384337971.7746162,2888888889.0,1000000000.0,1655555556.0000002,400000000.0,300000411719.0,179136.59198686862,7497.69236791583,2518.1713573907728,3522314694.0,20000000.0,1655555555.0,6599500000.0,97551576.0,114509111.0,0.0,0.0,3522314694.0,20000000.0,1655555555.0,6599500000.0,187985073.0,2834815455.0,0.0,0.0,3522314694.0,20000000.0,1655555555.0,6599500000.0,4462426222.0,2888888888.0,999999999.0,1384337971.0,185575395436.70468,150200000000.0,124166666710.00002,466507499990.0,48276762779.480545,92591958755.0,20000000010.0,12681716318.81469
6,10.0,4.433,0.5,4.767,2035,0.07,0.17,800000000,-0.174,0.017,-0.083,0.128,0.05,-0.028,0.0,-0.034,500000000000.0,4866666667,5200000000,4666666667,11666666667,9000000000,4000000000,13444444444,811111111.1,20000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,499999999999.99994,6460323179708.651,4400000000.0,4173021798.4899993,1820000.0000000002,9810903715.29,1.0,1.0,1.0,811111111.0000002,364903241.548682,490545185764.5,103604.61148310472,1505.91279353427,573.934072858845,0.0,400000000.0,811111110.0,0.0,0.0,0.0,0.0,0.0,0.0,1220000000.0,811111110.0,0.0,4530488027.0,0.0,0.0,0.0,0.0,2420000000.0,811111110.0,4172521798.0,9810893715.0,0.0,0.0,0.0,27300000.0,213400000000.0,40555555560.00001,50102826977.349976,195914317432.64996,10.000000000000002,10.000000000000002,10.000000000000002
7,4.7,4.433,0.5,6.8,2030,0.08,0.04,300000000,-0.202,0.083,-0.05,0.094,0.061,-0.05,0.067,-0.108,600000000000.0,4388888889,3800000000,3344444444,20000000000,6000000000,3555555556,4111111111,1866666667.0,4000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,600000000000.0,8457657004520.058,3460000000.0,3800000000.0,1820000.0000000002,4000000000.0,1.0,1.0,4111111111.0000005,1866666667.0,300000000.0,233777777774.0,99901.70475669754,3230.0095769625,939.2380833975001,0.0,525396172.0,1866666666.0,0.0,0.0,0.0,0.0,0.0,0.0,1345396172.0,1866666666.0,0.0,3999990000.0,0.0,0.0,0.0,0.0,1480000000.0,1866666666.0,3799500000.0,3999990000.0,0.0,4111111110.0,0.0,27300000.0,206242827729.99994,112000000030.0,69507499995.00005,130000149995.00003,10.000000000000002,82222222230.0,10.000000000000002
8,8.233,2.5,0.5,2.733,2030,0.09,0.105,1000000000,-0.23,0.067,0.083,0.083,0.094,0.017,0.033,-0.059,800000000000.0,2955555556,1700000000,5988888889,5000000000,10000000000,2666666667,5666666667,1444444444.0,16000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,800000000000.0,11057192462236.652,2955555556.0,1700000000.0,5988888889.0,5000000000.0,1.0,2666666667.0,5666666667.000002,1444444444.0,923833333.385,289926666672.05505,216443.93311626467,3299.28666735975,1317.1100232110002,0.0,399999999.0,1444444443.0,0.0,0.0,0.0,0.0,0.0,5987068889.0,975555556.0,1444444443.0,0.0,4867606114.0,0.0,0.0,0.0,5987068889.0,975555556.0,1444444443.0,1699500000.0,4999990000.0,2666666666.0,5666666666.0,0.0,217193966660.0,189288888865.0,86666666650.0,34007500000.0,136176311125.1652,26666666680.0,110000000009.8348,10.000000000000002
9,4.7,8.3,12.5,4.767,2045,0.08,0.04,600000000,-0.119,-0.05,-0.15,0.061,0.139,0.006,0.017,-0.01,1000000000000.0,3911111111,2400000000,2022222222,16666666667,5000000000,3333333333,8777777778,1022222222.0,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
