future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030.0,0.07,0.04,200000000.0,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000.0,2000000000.0,300000000.0,700000000.0,5000000000.0,1000000000.0,2000000000.0,1000000000.0,600000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,400000000000.0,19174973126806.97,2000000000.0,300000000.0,1820000.0000000002,4000000000.0,1.0,1.0,1.0,600000000.0000001,163200000.0,94000000000.0,73170.4005201078,1227.7626399496596,414.08219300476594,0.0,20000000.0,599999999.0,0.0,1936804597.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,0.0,0.0,0.0,27300000.0,150200000000.0,45000000010.0,11579908503.61703,193192791456.383,10.000000000000002,10.000000000000002,10.000000000000002
1,6.467,6.367,0.5,4.767,2050.0,0.09,0.105,500000000.0,-0.23,0.033,-0.117,0.061,0.139,0.039,0.0,-0.01,800000000000.0,5344444444.444,1000000000.0,12600000000.0,5000000000.0,10000000000.0,2888888888.889,15000000000.0,2288888888.889,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0001,36998201369859.445,4400000000.0,1000000000.0,1297059791.4287086,5000000000.0,1.0,2888888888.0,3959059922.972813,2288888888.0,500000000.00000006,263261415484.057,158147.45575292635,4625.2512688591905,1355.5120379990076,0.0,1599999999.0,2288888887.0,999500000.0,203870903.0,0.0,0.0,0.0,1295239791.0,2419999999.0,2288888887.0,999500000.0,1988542788.0,2888888887.0,0.0,0.0,1295239791.0,2420000000.0,2288888887.0,999500000.0,4999990000.0,2888888887.0,3959059922.0,0.0,40254210114.28846,279399999945.0,171666666610.0,50007500000.0,110378708213.24261,116408775024.0,31884140083.46906,10.000000000000002
2,8.233,4.433,8.5,6.8,2050.0,0.09,0.17,200000000.0,-0.119,0.05,0.15,0.139,0.128,-0.05,0.017,-0.083,1000000000000.0,3433333333.333,2400000000.0,11277777777.778,8333333333.333,9000000000.0,3555555555.556,1000000000.0,2288888888.889,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.467,8.3,0.5,4.767,2030.0,0.09,0.17,300000000.0,-0.063,-0.05,-0.05,0.061,0.15,-0.006,0.033,-0.108,600000000000.0,4866666666.667,3800000000.0,3344444444.444,18333333333.333,10000000000.0,2222222222.222,5666666666.667,1866666666.667,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,599999999999.9999,22254449228085.11,3333333333.333333,500000.0,1820000.0000000002,10940329507.694183,1.0,1.0,1.0,1866666666.0000005,300000000.00000024,353755554631.29144,108863.49283928274,3292.9378608217635,898.8448646011743,0.0,1353333333.0,1866666665.0,0.0,0.0,0.0,0.0,0.0,0.0,1353333333.0,1866666665.0,0.0,5940319508.0,0.0,0.0,0.0,0.0,1353333333.0,1866666665.0,0.0,10940319508.0,0.0,0.0,0.0,27300000.0,223956812317.6452,139999999960.00003,7500000.0,236008387692.35464,10.000000000000002,10.000000000000002,10.000000000000002
4,8.233,8.3,8.5,4.767,2030.0,0.07,0.17,1000000000.0,-0.119,0.033,-0.05,0.094,0.139,0.028,0.033,-0.034,1100000000000.0,5822222222.222,5900000000.0,9955555555.556,8333333333.333,7000000000.0,2222222222.222,5666666666.667,2077777777.778,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,1099999999999.9998,48306267262274.32,4400000000.0,5900000000.0,3790499390.986602,8333333333.000001,1.0,1185223338.9830582,5666666666.000001,2077777777.0,1000000000.0,528478658543.835,208014.1086710672,5578.608118755174,1831.3268461073544,0.0,1599999999.0,2077777776.0,0.0,1105670062.0,0.0,0.0,0.0,3788679391.0,2419999999.0,2077777776.0,4723751617.0,7287744446.0,0.0,0.0,0.0,3788679391.0,2420000000.0,2077777776.0,5899500000.0,8333323333.0,1185223338.0,5666666665.0,0.0,125837287819.73203,279399999945.0,155833333284.99997,163871274257.6314,283494988839.9394,7389461509.242346,84173654333.4547,10.000000000000002
5,8.233,4.433,8.5,2.733,2045.0,0.08,0.17,200000000.0,-0.036,-0.05,-0.05,0.072,0.072,-0.017,0.0,-0.206,800000000000.0,4866666666.667,2400000000.0,4666666666.667,5000000000.0,7000000000.0,3333333333.333,4111111111.111,1655555555.556,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0,86433956928107.31,2500000000.0,2400000000.0,223540823.822745,1313731308.8404617,5483927865.400289,3333333333.0000005,4111111111.0000005,1655555555.0,200000000.0,373476010449.32996,88049.34750954522,4394.480330544395,1268.8497170134347,186415294.0,520000000.0,1655555554.0,2399500000.0,0.0,94496994.0,789764924.0,0.0,221720824.0,520000000.0,1655555554.0,2399500000.0,789297196.0,361031331.0,4111111110.0,245510053.0,221720824.0,520000000.0,1655555554.0,2399500000.0,1313721309.0,3333333332.0,4111111110.0,5483927864.0,4498116476.454901,176242909184.88425,124166666634.99998,180005000000.0,29037412186.39292,29244525401.100006,160783440642.71497,96021929473.45297
6,6.467,6.367,4.5,4.767,2045.0,0.07,0.105,700000000.0,0.02,0.067,-0.083,0.128,0.072,-0.028,-0.017,-0.181,500000000000.0,3911111111.111,2400000000.0,5988888888.889,16666666666.667,8000000000.0,3777777777.778,11888888888.889,2077777777.778,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,500000000000.0,16104383103693.97,3911111111.0000005,500000.0,1820000.0000000002,9277882277.042524,1.0,1.0,1.0,2077777777.0,327589494.9768467,300000323428.17,101851.57749789691,2942.383249909236,813.1443033708777,0.0,439460226.0,2077777776.0,0.0,0.0,0.0,0.0,0.0,0.0,1259460226.0,2077777776.0,0.0,2499989999.0,0.0,0.0,0.0,0.0,1931111111.0,2077777776.0,0.0,9277872277.0,0.0,0.0,0.0,27300000.0,210039677946.56485,124666666629.99998,7500000.0,165258855393.43515,10.000000000000002,10.000000000000002,10.000000000000002
7,4.7,8.3,4.5,2.733,2045.0,0.08,0.17,800000000.0,-0.008,0.033,0.017,0.15,0.072,0.028,0.05,-0.181,1000000000000.0,2955555555.556,300000000.0,12600000000.0,6666666666.667,9000000000.0,3555555555.556,1000000000.0,600000000.0,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.233,8.3,4.5,4.767,2040.0,0.09,0.04,900000000.0,-0.119,-0.033,0.083,0.05,0.139,-0.039,0.033,-0.157,700000000000.0,5822222222.222,1000000000.0,4666666666.667,11666666666.667,8000000000.0,2888888888.889,11888888888.889,2077777777.778,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,700000000000.0,25009371534954.94,4400000000.0,500000.0,4666666666.0,1822602004.4,1.0,1.0,1.0,2077777777.0,593237758.26552,75027411511.126,260511.7350036836,4636.358888726749,1650.2933562805,2164846666.0,1599999999.0,2077777776.0,0.0,0.0,0.0,0.0,0.0,4664846666.0,2419999999.0,2077777776.0,0.0,1822592004.0,0.0,0.0,0.0,4664846666.0,2420000000.0,2077777776.0,0.0,1822592004.0,0.0,0.0,0.0,219193966630.00003,279399999945.0,155833333284.99997,7500000.0,45565200110.0,10.000000000000002,10.000000000000002,10.000000000000002
9,10.0,2.5,4.5,0.7,2050.0,0.09,0.17,300000000.0,-0.202,-0.05,-0.017,0.094,0.05,0.017,0.0,-0.059,900000000000.0,3911111111.111,5900000000.0,5988888888.889,16666666666.667,2000000000.0,2000000000.0,10333333333.333,1022222222.222,8000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,900000000000.0001,50637171241978.01,3333332688.8392673,5900000000.0,193700936.6288469,4379688813.455,1.0,2000000000.0,10333333333.000002,1022222222.0,300000000.00000006,300000500038.5,116828.47705851089,3658.9972785002055,1210.2251315961107,174237857.0,1353332689.0,1022222221.0,0.0,131843312.0,0.0,0.0,0.0,191880937.0,1353332689.0,1022222221.0,5899500000.0,1057101732.0,0.0,5333333332.0,0.0,191880937.0,1353332689.0,1022222221.0,5899500000.0,4379678813.0,1999999999.0,10333333332.0,0.0,3901318732.576938,237150990979.07922,76666666660.0,211007500000.0,70151701612.31607,16552128576.742096,284569693429.28577,10.000000000000002
