future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030.0,0.07,0.04,200000000.0,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000.0,2000000000.0,300000000.0,700000000.0,5000000000.0,1000000000.0,2000000000.0,1000000000.0,600000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,400000000000.0,3889692410988.951,2000000000.0,300000000.0,1820000.0000000002,4000000000.0,1.0,2000000000.0,1000000000.0,600000000.0,163200000.0,102500000000.0,72870.675408507,824.1149893397132,330.11941486494135,0.0,20000000.0,13009991.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,1999999999.0,999999999.0,0.0,27300000.0,149900000000.0,27065049969.98697,10507500000.0,152500150000.01303,40000000010.0,20000000010.0,10.000000000000002
1,6.467,6.367,0.5,4.767,2050.0,0.09,0.105,500000000.0,-0.23,0.033,-0.117,0.061,0.139,0.039,0.0,-0.01,800000000000.0,5344444444.444,1000000000.0,12600000000.0,5000000000.0,10000000000.0,2888888888.889,15000000000.0,2288888888.889,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0,6148203822783.392,4400000000.0,1000000000.0,990476190.4761906,422653157.2750416,1.0,2888888888.0,12283536865.457104,2288888888.0,500000000.0,300000323408.17,154356.31397764743,4014.175239756393,1208.8940551367211,0.0,1599999999.0,2288888887.0,0.0,0.0,0.0,0.0,0.0,965309636.0,2419999999.0,2288888887.0,999500000.0,422643157.0,2888888887.0,2124328279.0,0.0,988656190.0,2420000000.0,2288888887.0,999500000.0,422643157.0,2888888887.0,12283536864.0,0.0,34319216220.614708,279399999945.0,148777777730.0,40007500000.0,10566478931.87604,108953455125.36307,177975572037.14627,10.000000000000002
2,8.233,4.433,8.5,6.8,2050.0,0.09,0.17,200000000.0,-0.119,0.05,0.15,0.139,0.128,-0.05,0.017,-0.083,1000000000000.0,3433333333.333,2400000000.0,11277777777.778,8333333333.333,9000000000.0,3555555555.556,1000000000.0,2288888888.889,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.467,8.3,0.5,4.767,2030.0,0.09,0.17,300000000.0,-0.063,-0.05,-0.05,0.061,0.15,-0.006,0.033,-0.108,600000000000.0,4866666666.667,3800000000.0,3344444444.444,18333333333.333,10000000000.0,2222222222.222,5666666666.667,1866666666.667,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,600000000000.0,3600711294786.363,2560322840.728002,3800000000.0,68064378.47223419,11994990402.496523,1.0,2222222222.0,5666666666.000001,1866666666.0000005,300000000.0,528478570203.835,68965.69754611162,2377.7853833222675,694.5819519329931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66244378.0,20000000.0,1866666665.0,0.0,2499989999.0,0.0,211.0,0.0,66244378.0,580322841.0,1866666665.0,3799500000.0,11994980402.0,2222222221.0,5666666665.0,0.0,1388587569.4446836,139804842610.92004,78101743467.87643,63507500000.0,184975101992.4826,22222222230.0,110000002119.27626,10.000000000000002
4,8.233,8.3,8.5,4.767,2030.0,0.07,0.17,1000000000.0,-0.119,0.033,-0.05,0.094,0.139,0.028,0.033,-0.034,1100000000000.0,5822222222.222,5900000000.0,9955555555.556,8333333333.333,7000000000.0,2222222222.222,5666666666.667,2077777777.778,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,1100000000000.0,7025694413810.634,4400000000.0,5900000000.0,3872992639.2538776,8209500609.0134,1.0,1305166258.5809028,5666666666.000006,2077777777.0,1000000000.0,528478658543.83496,197788.06283277884,5187.057764402929,1769.741756464275,0.0,1200000000.0,2077777776.0,0.0,0.0,0.0,0.0,0.0,3871172639.0,2020000000.0,2077777776.0,5899500000.0,5029035924.0,0.0,3900974880.0,0.0,3871172639.0,2420000000.0,2077777776.0,5899500000.0,8209490609.0,1305166258.0,5666666665.0,0.0,126805413065.56366,257400000000.0,124666666629.99998,201780222239.14716,234230471959.72577,8610138884.867863,146507087210.6955,10.000000000000002
5,8.233,4.433,8.5,2.733,2045.0,0.08,0.17,200000000.0,-0.036,-0.05,-0.05,0.072,0.072,-0.017,0.0,-0.206,800000000000.0,4866666666.667,2400000000.0,4666666666.667,5000000000.0,7000000000.0,3333333333.333,4111111111.111,1655555555.556,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0,12928917867207.125,2500000000.0,2400000000.0,227404536.26245147,497413104.9438849,7000000000.0,3333333333.0000005,4111111111.0000005,1655555555.0,200000000.0,373476010449.33,87565.94378441585,4295.313201384914,1235.2582137362099,186415294.0,520000000.0,1655555554.0,2399500000.0,0.0,94496994.0,789764924.0,0.0,225584536.0,520000000.0,1655555554.0,2399500000.0,0.0,654836570.0,4111111110.0,1148063993.0,225584536.0,520000000.0,1655555554.0,2399500000.0,497403105.0,3333333332.0,4111111110.0,6999999999.0,4575390725.24903,175064058206.67725,124166666634.99998,168007500000.0,8899567167.807608,33782416704.059624,160783440642.71497,124720959918.49158
6,6.467,6.367,4.5,4.767,2045.0,0.07,0.105,700000000.0,0.02,0.067,-0.083,0.128,0.072,-0.028,-0.017,-0.181,500000000000.0,3911111111.111,2400000000.0,5988888888.889,16666666666.667,8000000000.0,3777777777.778,11888888888.889,2077777777.778,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,500000000000.00006,2991608664526.8457,3911111111.0000005,2400000000.0,2499999999.0,11550206344.492657,1.0,1.0,1.0,2077777777.0,603268974.4630574,373475922149.17,103660.45655454465,2265.3250912922867,748.1968619563019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419999999.0,2077777776.0,0.0,2727665933.0,0.0,0.0,0.0,2498179999.0,1931111111.0,2077777776.0,2399500000.0,11550196344.0,0.0,0.0,0.0,37527299985.0,168955555510.0,72722222204.99998,41897687208.81553,178897235061.1845,10.000000000000002,10.000000000000002,10.000000000000002
7,4.7,8.3,4.5,2.733,2045.0,0.08,0.17,800000000.0,-0.008,0.033,0.017,0.15,0.072,0.028,0.05,-0.181,1000000000000.0,2955555555.556,300000000.0,12600000000.0,6666666666.667,9000000000.0,3555555555.556,1000000000.0,600000000.0,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.233,8.3,4.5,4.767,2040.0,0.09,0.04,900000000.0,-0.119,-0.033,0.083,0.05,0.139,-0.039,0.033,-0.157,700000000000.0,5822222222.222,1000000000.0,4666666666.667,11666666666.667,8000000000.0,2888888888.889,11888888888.889,2077777777.778,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,700000000000.0,4016325269601.1606,4400000000.0,1000000000.0,4666666666.0,3771745227.021864,1.0,1.0,11888888888.000002,2077777777.0,604542788.9567268,438635558915.835,179082.3940113838,2823.0366672129994,1080.110023173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4664846666.0,820000000.0,2077777776.0,0.0,2188848103.0,0.0,406476745.0,0.0,4664846666.0,2420000000.0,2077777776.0,999500000.0,3771735227.0,0.0,11888888887.0,0.0,150860633310.0,191400000000.0,83111111089.99998,20007500000.0,62636038196.74179,10.000000000000002,191984717383.2582,10.000000000000002
9,10.0,2.5,4.5,0.7,2050.0,0.09,0.17,300000000.0,-0.202,-0.05,-0.017,0.094,0.05,0.017,0.0,-0.059,900000000000.0,3911111111.111,5900000000.0,5988888888.889,16666666666.667,2000000000.0,2000000000.0,10333333333.333,1022222222.222,8000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,900000000000.0,6762596948900.931,3296871765.243378,5900000000.0,12127963.495517908,4376676667.460001,1.0,2000000000.0,10333333333.000002,1022222222.0,300000000.0,300000500038.5,104451.17492286162,3123.0232745965413,1051.9069560252315,0.0,896871765.0,1022222221.0,0.0,0.0,0.0,0.0,0.0,10307963.0,1316871765.0,1022222221.0,5899500000.0,210298161.0,1104007934.0,10333333332.0,0.0,10307963.0,1316871765.0,1022222221.0,5899500000.0,4376666667.0,1999999999.0,10333333332.0,0.0,269859269.91035813,215864095561.20312,61333333330.0,191153494596.68097,52525844212.65,45520039684.55556,333333333335.0,10.000000000000002
