future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030.0,0.07,0.04,200000000.0,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000.0,2000000000.0,300000000.0,700000000.0,5000000000.0,1000000000.0,2000000000.0,1000000000.0,600000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,400000000000.0,8058351497077.494,2000000000.0,300000000.0,1820000.0000000002,4000000000.0000014,1.0,2000000000.0,708834999.2500007,600000000.0,163200000.0,101480922497.37503,72895.15133455761,954.5292601962499,356.674460015,0.0,20000000.0,599999999.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,1999999999.0,708834998.0,0.0,18200000.0,149799999975.0,33000000010.0,10505000000.0,172500100000.0,20000000010.0,14176699995.000015,10.000000000000002
1,6.467,6.367,0.5,4.767,2050.0,0.09,0.105,500000000.0,-0.23,0.033,-0.117,0.061,0.139,0.039,0.0,-0.01,800000000000.0,5344444444.444,1000000000.0,12600000000.0,5000000000.0,10000000000.0,2888888888.889,15000000000.0,2288888888.889,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0,14107310543210.09,4400000000.0,1000000000.0,1132855508.4705842,656676205.16994,1.0,2888888888.0,12283536865.457102,2288888888.0,500000000.0,300000323408.17,139899.80195401248,4555.4041051613785,1300.2111814050836,0.0,419999999.0,2288888887.0,0.0,0.0,0.0,0.0,0.0,1131035508.0,2419999999.0,2288888887.0,999500000.0,656666205.0,2888888887.0,1806848302.0,0.0,1131035508.0,2420000000.0,2288888887.0,999500000.0,656666205.0,2888888887.0,12283536864.0,0.0,42299172045.02987,239799999945.0,171666666610.0,45005000000.0,16417005129.248497,115555555530.0,169256600730.72162,10.000000000000002
2,8.233,4.433,8.5,6.8,2050.0,0.09,0.17,200000000.0,-0.119,0.05,0.15,0.139,0.128,-0.05,0.017,-0.083,1000000000000.0,3433333333.333,2400000000.0,11277777777.778,8333333333.333,9000000000.0,3555555555.556,1000000000.0,2288888888.889,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.467,8.3,0.5,4.767,2030.0,0.09,0.17,300000000.0,-0.063,-0.05,-0.05,0.061,0.15,-0.006,0.033,-0.108,600000000000.0,4866666666.667,3800000000.0,3344444444.444,18333333333.333,10000000000.0,2222222222.222,5666666666.667,1866666666.667,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,600000000000.0,7992440533416.959,2756216495.4770417,3800000000.0,1820000.0000000002,11455261276.080395,1.0,1941466057.4421704,5666666666.000001,1866666666.0000005,300000000.00000006,490545009133.835,64902.03030430475,2600.895145179018,717.0839994452066,0.0,0.0,1266666666.0,0.0,0.0,0.0,0.0,0.0,0.0,708888889.0,1866666665.0,0.0,4999989999.0,0.0,0.0,0.0,0.0,776216495.0,1866666665.0,3799500000.0,11455251276.0,1941466056.0,5666666665.0,0.0,18200000.0,132641282914.75542,93666666655.0,50505000000.0,227052712745.80396,19414660584.421703,76701477090.01889,10.000000000000002
4,8.233,8.3,8.5,4.767,2030.0,0.07,0.17,1000000000.0,-0.119,0.033,-0.05,0.094,0.139,0.028,0.033,-0.034,1100000000000.0,5822222222.222,5900000000.0,9955555555.556,8333333333.333,7000000000.0,2222222222.222,5666666666.667,2077777777.778,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,1100000000000.0,16893524547647.533,4400000000.0,5900000000.0,3856827564.9963923,8209500609.0134,1.0,1305166258.580904,5666666666.000001,2077777777.0,1000000000.0,528478658543.835,198206.1541493215,5784.32656159952,1886.4765793403271,0.0,419999999.0,2077777776.0,0.0,715085379.0,0.0,0.0,0.0,3707680608.0,2419999999.0,2077777776.0,5899500000.0,7287744446.0,0.0,0.0,0.0,3855007565.0,2420000000.0,2077777776.0,5899500000.0,8209490609.0,1305166258.0,5666666665.0,0.0,142126099875.29547,239799999945.0,155833333284.99997,185004999990.0,259404833853.87744,8588890705.220812,109241842335.60626,10.000000000000002
5,8.233,4.433,8.5,2.733,2045.0,0.08,0.17,200000000.0,-0.036,-0.05,-0.05,0.072,0.072,-0.017,0.0,-0.206,800000000000.0,4866666666.667,2400000000.0,4666666666.667,5000000000.0,7000000000.0,3333333333.333,4111111111.111,1655555555.556,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0,31232665573611.316,2463750000.0,2400000000.0,423529412.23529416,497413104.9438847,7000000000.0,3333333333.0000005,4111111111.0000005,1655555555.0,200000000.00000012,373476010449.33,85229.7097250024,4402.717093618101,1267.8544486885387,421709412.0,419999999.0,1655555554.0,2399500000.0,0.0,94496994.0,789764924.0,0.0,421709412.0,483750000.0,1655555554.0,2399500000.0,0.0,992821003.0,4111111110.0,499999999.0,421709412.0,483750000.0,1655555554.0,2399500000.0,497403105.0,3333333332.0,4111111110.0,6999999999.0,8829964715.294117,165305873023.5127,124166666634.99998,180005000000.0,2487165524.7194233,46852031573.65312,160783440642.71497,111569857885.10568
6,6.467,6.367,4.5,4.767,2045.0,0.07,0.105,700000000.0,0.02,0.067,-0.083,0.128,0.072,-0.028,-0.017,-0.181,500000000000.0,3911111111.111,2400000000.0,5988888888.889,16666666666.667,8000000000.0,3777777777.778,11888888888.889,2077777777.778,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,499999999999.99994,5635686041306.91,3911111111.0000005,2400000000.0,611042719.1079324,11550206344.492657,1.0,1.0,1.0,2077777777.0,404928460.0743903,373475922149.17,88966.40752322612,2522.134489012282,745.6428521440441,0.0,0.0,844444444.0,0.0,0.0,0.0,0.0,0.0,0.0,1219999999.0,2077777776.0,0.0,3385041421.0,0.0,0.0,0.0,609222719.0,1931111111.0,2077777776.0,2399500000.0,11550196344.0,0.0,0.0,0.0,12239054382.15865,168466666619.99994,91555555540.0,36005000000.0,191733723427.8414,10.000000000000002,10.000000000000002,10.000000000000002
7,4.7,8.3,4.5,2.733,2045.0,0.08,0.17,800000000.0,-0.008,0.033,0.017,0.15,0.072,0.028,0.05,-0.181,1000000000000.0,2955555555.556,300000000.0,12600000000.0,6666666666.667,9000000000.0,3555555555.556,1000000000.0,600000000.0,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.233,8.3,4.5,4.767,2040.0,0.09,0.04,900000000.0,-0.119,-0.033,0.083,0.05,0.139,-0.039,0.033,-0.157,700000000000.0,5822222222.222,1000000000.0,4666666666.667,11666666666.667,8000000000.0,2888888888.889,11888888888.889,2077777777.778,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,700000000000.0,9016748036826.488,4400000000.0,1000000000.0,4666666666.0,3771745227.021865,1.0,1.0,11888888888.000002,2077777777.0,604542788.9567268,438635558915.835,184157.14266832956,3221.9903706044997,1170.6077931945001,0.0,0.0,844444444.0,0.0,0.0,0.0,0.0,0.0,4664846666.0,1620000000.0,2077777776.0,0.0,2499989999.0,0.0,0.0,0.0,4664846666.0,2420000000.0,2077777776.0,999500000.0,3771735227.0,0.0,11888888887.0,0.0,155851533315.00003,195800000000.0,101944444425.0,15005000000.0,87935004535.43729,10.000000000000002,143464017704.5627,10.000000000000002
9,10.0,2.5,4.5,0.7,2050.0,0.09,0.17,300000000.0,-0.202,-0.05,-0.017,0.094,0.05,0.017,0.0,-0.059,900000000000.0,3911111111.111,5900000000.0,5988888888.889,16666666666.667,2000000000.0,2000000000.0,10333333333.333,1022222222.222,8000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,900000000000.0,17095684328688.44,3292268294.3597617,5900000000.0,14804999.535576822,4376676667.460001,1.0,2000000000.0,10333333333.000002,1022222222.0,300000000.0,300000500038.5,99152.92359881412,3407.801595069821,1093.8313571100075,0.0,419999999.0,1022222221.0,0.0,131843312.0,0.0,0.0,0.0,12985000.0,1312268293.0,1022222221.0,5899500000.0,637206138.0,171966543.0,10226342612.0,0.0,12985000.0,1312268294.0,1022222221.0,5899500000.0,4376666667.0,1999999999.0,10333333332.0,0.0,314299990.7115364,204781514305.01257,76666666660.0,186005000000.0,55179167371.27339,40859832727.55556,336193518935.447,10.000000000000002
