future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030.0,0.07,0.04,200000000.0,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000.0,2000000000.0,300000000.0,700000000.0,5000000000.0,1000000000.0,2000000000.0,1000000000.0,600000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,400000000000.0,8402942767586.401,2000000000.0,300000000.0,1820000.0000000002,4000000000.0,1.0,2000000000.0,701959997.75,600000000.0,163200000.0,101456859992.125,72958.90254421784,954.82365022,356.897900045,0.0,20000000.0,599999999.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,1999999999.0,701959997.0,0.0,45500000.0,149900000000.0,33000000010.0,10515000000.0,172500300000.0,20000000015.0,14039199964.999996,10.000000000000002
1,6.467,6.367,0.5,4.767,2050.0,0.09,0.105,500000000.0,-0.23,0.033,-0.117,0.061,0.139,0.039,0.0,-0.01,800000000000.0,5344444444.444,1000000000.0,12600000000.0,5000000000.0,10000000000.0,2888888888.889,15000000000.0,2288888888.889,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0,13209625136915.69,5344444444.0,1000000000.0,1195238095.2933333,2499999999.0,1.0,2888888888.0,9999999999.0,2288888888.0,500000000.0,300000323408.17,165165.71192544827,4464.928013814227,1310.7145663854267,0.0,2164444444.0,2288888887.0,0.0,0.0,0.0,0.0,0.0,0.0,3364444444.0,2288888887.0,999500000.0,1988542788.0,2888888887.0,0.0,0.0,1193418095.0,3364444444.0,2288888887.0,999500000.0,2499989999.0,2888888887.0,9999999998.0,0.0,23950261905.86667,313844444420.0,171666666610.0,35015000000.0,59943063920.18401,100714532182.61514,94866030951.33417,10.000000000000002
2,8.233,4.433,8.5,6.8,2050.0,0.09,0.17,200000000.0,-0.119,0.05,0.15,0.139,0.128,-0.05,0.017,-0.083,1000000000000.0,3433333333.333,2400000000.0,11277777777.778,8333333333.333,9000000000.0,3555555555.556,1000000000.0,2288888888.889,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.467,8.3,0.5,4.767,2030.0,0.09,0.17,300000000.0,-0.063,-0.05,-0.05,0.061,0.15,-0.006,0.033,-0.108,600000000000.0,4866666666.667,3800000000.0,3344444444.444,18333333333.333,10000000000.0,2222222222.222,5666666666.667,1866666666.667,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,600000000000.0,8606596118792.692,2779999999.0000005,864224623.2712853,1820000.0000000005,12499999999.0,1.0,1.0,5666666666.000001,1866666666.0000005,300000000.0,490545009133.835,88828.12963137281,2538.4171669265907,715.8623304078204,0.0,0.0,1866666665.0,0.0,0.0,0.0,0.0,0.0,0.0,799999999.0,1866666665.0,0.0,4999989999.0,0.0,0.0,0.0,0.0,799999999.0,1866666665.0,863724623.0,12499989999.0,0.0,5666666665.0,0.0,45500000.0,182244444404.44446,102666666640.00002,12978369349.069279,237500299975.0,15.000000000000004,64564719606.48628,10.000000000000002
4,8.233,8.3,8.5,4.767,2030.0,0.07,0.17,1000000000.0,-0.119,0.033,-0.05,0.094,0.139,0.028,0.033,-0.034,1100000000000.0,5822222222.222,5900000000.0,9955555555.556,8333333333.333,7000000000.0,2222222222.222,5666666666.667,2077777777.778,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,1100000000000.0,16409351551987.947,5822222222.000001,5900000000.0,3846653301.8933725,8333333333.000001,1.0,1185223338.9830582,5666666666.000001,2077777777.0,1000000000.0,528478658543.835,214333.69584071595,5221.503761514318,1743.8452497869457,0.0,2242222222.0,2077777776.0,0.0,0.0,0.0,0.0,0.0,1344833302.0,3842222222.0,2077777776.0,5215996257.0,7287744446.0,0.0,0.0,0.0,3844833302.0,3842222222.0,2077777776.0,5899500000.0,8333323333.0,1185223338.0,5666666665.0,0.0,94478566042.86745,330122222210.0,145444444399.99997,158762443857.37674,259869814032.52414,7989176112.231583,103333333335.0,10.000000000000002
5,8.233,4.433,8.5,2.733,2045.0,0.08,0.17,200000000.0,-0.036,-0.05,-0.05,0.072,0.072,-0.017,0.0,-0.206,800000000000.0,4866666666.667,2400000000.0,4666666666.667,5000000000.0,7000000000.0,3333333333.333,4111111111.111,1655555555.556,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0001,29188985096645.797,2500000000.0,2400000000.0,346616103.7745329,2499999999.0,7000000000.0,1393651227.263059,4111111111.0000005,1655555555.0,200000000.00000003,373476010449.33,88442.1046396053,4404.5796465012245,1273.7731615987632,0.0,520000000.0,1655555554.0,2399500000.0,0.0,94487308.0,789764924.0,0.0,344796104.0,520000000.0,1655555554.0,2399500000.0,921490330.0,361031331.0,4111111110.0,0.0,344796104.0,520000000.0,1655555554.0,2399500000.0,2499989999.0,1393651226.0,4111111110.0,6999999999.0,7474879193.308305,173400000000.0,124166666634.99998,180005000000.0,43378582971.2832,15990655747.08873,160783440642.71497,94800774810.60483
6,6.467,6.367,4.5,4.767,2045.0,0.07,0.105,700000000.0,0.02,0.067,-0.083,0.128,0.072,-0.028,-0.017,-0.181,500000000000.0,3911111111.111,2400000000.0,5988888888.889,16666666666.667,8000000000.0,3777777777.778,11888888888.889,2077777777.778,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,500000000000.0,6275844940706.05,3911111111.0000005,1495220399.8737743,1820000.0000000002,11550206344.492657,1.0,1.0000000000000002,1.0,2077777777.0,340768974.5680574,373475922149.17,109236.61351233559,2165.363944542149,684.8455173615919,0.0,331111111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931111111.0,2077777776.0,0.0,2499990359.0,0.0,0.0,0.0,0.0,1931111111.0,2077777776.0,1494720400.0,11550196344.0,0.0,0.0,0.0,45500000.0,225255555550.0,83111111089.99998,14967203998.737738,176620629326.2623,15.000000000029917,10.000000000000002,10.000000000000002
7,4.7,8.3,4.5,2.733,2045.0,0.08,0.17,800000000.0,-0.008,0.033,0.017,0.15,0.072,0.028,0.05,-0.181,1000000000000.0,2955555555.556,300000000.0,12600000000.0,6666666666.667,9000000000.0,3555555555.556,1000000000.0,600000000.0,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.233,8.3,4.5,4.767,2040.0,0.09,0.04,900000000.0,-0.119,-0.033,0.083,0.05,0.139,-0.039,0.033,-0.157,700000000000.0,5822222222.222,1000000000.0,4666666666.667,11666666666.667,8000000000.0,2888888888.889,11888888888.889,2077777777.778,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,700000000000.0,9548951245135.137,4780000000.0,500000.0,4666666666.0,7499999999.0,1.0,1.0000000000000002,5449887097.00021,2077777777.0,626166666.6342,438635558915.835,215714.87241299808,2900.704858992283,1147.809565956603,0.0,1200000000.0,844444444.0,0.0,0.0,0.0,0.0,0.0,4330283160.0,2800000000.0,2077777776.0,0.0,2499989999.0,0.0,0.0,0.0,4664846666.0,2800000000.0,2077777776.0,0.0,7499989999.0,0.0,5449887096.0,0.0,145860380723.7868,272800000000.0,91555555540.0,15000000.0,148939072206.14294,15.000000000000004,40829991505.070274,10.000000000000002
9,10.0,2.5,4.5,0.7,2050.0,0.09,0.17,300000000.0,-0.202,-0.05,-0.017,0.094,0.05,0.017,0.0,-0.059,900000000000.0,3911111111.111,5900000000.0,5988888888.889,16666666666.667,2000000000.0,2000000000.0,10333333333.333,1022222222.222,8000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,900000000000.0,17183311870160.967,3317072817.218625,5900000000.0,322364066.06357527,4376676667.460001,1.0,2000000000.0,10333333333.000002,1022222222.0,300000000.0000021,300000500038.5,110560.78877154874,3378.2708962386287,1107.3682817192082,0.0,1336504912.0,1022222221.0,0.0,9162216.0,0.0,0.0,0.0,320544066.0,1337072817.0,1022222221.0,5899500000.0,772445258.0,0.0,9399854392.0,0.0,320544066.0,1337072817.0,1022222221.0,5899500000.0,4376666667.0,1999999999.0,10333333332.0,0.0,7156433200.242917,220324807323.77338,76666666660.0,177015000000.0,56172610226.861435,40000000015.0,322664482564.1224,10.000000000000002
10,8.233,6.367,4.5,0.7,2050.0,0.09,0.04,700000000.0,-0.174,0.0,0.117,0.072,0.094,0.039,-0.033,-0.059,1000000000000.0,4388888888.889,1000000000.0,5988888888.889,11666666666.667,8000000000.0,2000000000.0,11888888888.889,1866666666.667,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,1000000000000.0001,16523459410677.87,4388888888.0,1000000000.0,5988888888.000001,5762549133.466905,1.0,2000000000.0,10000000000.0,1866666666.0000005,640968499.7950356,300000411707.83496,281110.9069524848,4775.5875378,1793.5923441,1509291111.0,1208888888.0,1866666665.0,0.0,0.0,0.0,0.0,0.0,5987068888.0,2408888888.0,1866666665.0,999500000.0,1737440867.0,0.0,0.0,0.0,5987068888.0,2408888888.0,1866666665.0,999500000.0,5762539133.0,1999999999.0,9999999999.0,0.0,269823277740.0,261288888839.99994,139999999960.0,35015000000.0,84059534636.48929,34813298803.5108,175000000010.0,10.000000000000002
