future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed,BECCS_removed_2050,A/R_removed_2050,SCS_removed_2050,BC_removed_2050,DACCS_removed_2050,EW_removed_2050,OA_removed_2050,DOCCS_removed_2050
0,4.7,2.5,0.5,0.7,2030.0,0.07,0.04,200000000.0,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000.0,2000000000.0,300000000.0,700000000.0,5000000000.0,1000000000.0,2000000000.0,1000000000.0,600000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,400000000000.0,8244578083244.187,2000000000.0,300000000.0,1820000.0000000002,4000000000.0,1.0,2000000000.0,698252498.2500004,600000000.0,163200000.0,101443883743.875,72996.56111074323,954.77889022,356.94669004499997,0.0,20000000.0,599999999.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,1999999999.0,698252497.0,0.0,27300000.0,150000000000.0,33000000010.0,10507500000.0,172500149995.0,20000000010.0,13965049975.000002,10.000000000000002,27300000.0,61700000000.0,3000000010.0,7500000.0,150000.00000000003,10.000000000000002,10.000000000000002,10.000000000000002
1,6.467,6.367,0.5,4.767,2050.0,0.09,0.105,500000000.0,-0.23,0.033,-0.117,0.061,0.139,0.039,0.0,-0.01,800000000000.0,5344444444.444,1000000000.0,12600000000.0,5000000000.0,10000000000.0,2888888888.889,15000000000.0,2288888888.889,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0,13806297400131.45,4400000000.0,1000000000.0,916905864.9464018,1988552788.0368023,1.0,2888888888.0,11192416865.415146,2288888888.0,500000000.0,300000323408.17,149986.47465841525,4483.864814427179,1289.8417886014192,0.0,1599999999.0,2288888887.0,0.0,0.0,0.0,0.0,0.0,409519521.0,2419999999.0,2288888887.0,999500000.0,1988542788.0,2888888887.0,0.0,0.0,915085865.0,2420000000.0,2288888887.0,999500000.0,1988542788.0,2888888887.0,11192416864.0,0.0,26443406758.006897,279399999945.0,171666666610.0,40007500000.0,49713969700.92005,107777777770.0,124990679206.07301,10.000000000000002,27300000.0,89399999975.0,57222222210.0,7500000.0,150000.00000000003,10.000000000000002,10.000000000000002,10.000000000000002
2,8.233,4.433,8.5,6.8,2050.0,0.09,0.17,200000000.0,-0.119,0.05,0.15,0.139,0.128,-0.05,0.017,-0.083,1000000000000.0,3433333333.333,2400000000.0,11277777777.778,8333333333.333,9000000000.0,3555555555.556,1000000000.0,2288888888.889,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.467,8.3,0.5,4.767,2030.0,0.09,0.17,300000000.0,-0.063,-0.05,-0.05,0.061,0.15,-0.006,0.033,-0.108,600000000000.0,4866666666.667,3800000000.0,3344444444.444,18333333333.333,10000000000.0,2222222222.222,5666666666.667,1866666666.667,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,600000000000.0,8511262161664.54,2785964107.2604685,1510812414.1965647,1820000.0000000002,10993660403.578941,1.0,1.0,5666666666.000001,1866666666.0000005,300000000.0,490545009133.835,83513.02367330066,2607.4568948593674,728.903218128464,0.0,64035893.0,1866666665.0,0.0,0.0,0.0,0.0,0.0,0.0,708888889.0,1866666665.0,0.0,4999989999.0,0.0,0.0,0.0,0.0,805964107.0,1866666665.0,1510312414.0,10993650404.0,0.0,5666666665.0,0.0,27300000.0,171348854561.25262,102666666640.00002,22669686212.94846,222436754020.78943,10.000000000000002,80850738545.00946,10.000000000000002,27300000.0,62360538391.09299,9333333340.000002,7500000.0,150000.00000000003,10.000000000000002,10.000000000000002,10.000000000000002
4,8.233,8.3,8.5,4.767,2030.0,0.07,0.17,1000000000.0,-0.119,0.033,-0.05,0.094,0.139,0.028,0.033,-0.034,1100000000000.0,5822222222.222,5900000000.0,9955555555.556,8333333333.333,7000000000.0,2222222222.222,5666666666.667,2077777777.778,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,1100000000000.0,16990699907990.744,4400000000.0,5900000000.0,3818988255.025328,8209500609.0134,1.0,1305166258.580904,5666666666.000001,2077777777.0,1000000000.0,528478658543.835,200330.55817276402,5694.952751394322,1851.2963366485708,0.0,1599999999.0,2077777776.0,0.0,0.0,0.0,0.0,0.0,2446409549.0,2419999999.0,2077777776.0,5899500000.0,7287744446.0,0.0,0.0,0.0,3817168255.0,2420000000.0,2077777776.0,5899500000.0,8209490609.0,1305166258.0,5666666665.0,0.0,112587888199.66821,279399999945.0,155833333284.99997,185007499990.0,264753928940.87457,8588890705.220812,93828458924.23642,10.000000000000002,27300000.0,89399999975.0,51944444434.99999,7500000.0,150000.00000000003,10.000000000000002,10.000000000000002,10.000000000000002
5,8.233,4.433,8.5,2.733,2045.0,0.08,0.17,200000000.0,-0.036,-0.05,-0.05,0.072,0.072,-0.017,0.0,-0.206,800000000000.0,4866666666.667,2400000000.0,4666666666.667,5000000000.0,7000000000.0,3333333333.333,4111111111.111,1655555555.556,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0,29636595117975.8,2500000000.0,2400000000.0,230123696.24825245,1272236489.2753618,6335842867.38327,3333333333.0000005,4111111111.0000005,1655555555.0,200000000.0,373476010449.33,87728.32090610127,4394.23903082444,1268.198450397412,199132297.0,520000000.0,1655555554.0,2399500000.0,0.0,94496994.0,789764924.0,0.0,228303696.0,520000000.0,1655555554.0,2399500000.0,1227753511.0,94496994.0,4111111110.0,0.0,228303696.0,520000000.0,1655555554.0,2399500000.0,1272226489.0,3333333332.0,4111111110.0,6335842866.0,4629773924.96505,175392986291.67496,124166666634.99998,180005000000.0,30694237768.115997,26913566973.04518,160783440642.71497,97414327764.48386,968476470.5882359,72680921077.35593,41388888884.99999,60005000000.0,150000.00000000003,945066836.037647,10.000000000000002,10.000000000000002
6,6.467,6.367,4.5,4.767,2045.0,0.07,0.105,700000000.0,0.02,0.067,-0.083,0.128,0.072,-0.028,-0.017,-0.181,500000000000.0,3911111111.111,2400000000.0,5988888888.889,16666666666.667,8000000000.0,3777777777.778,11888888888.889,2077777777.778,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,500000000000.0,6196829051784.314,3911111111.0000005,2400000000.0,1820000.0000000002,11550206344.492657,1.0,1.0,1.0,2077777777.0,340768974.5680574,373475922149.17,99051.76361741248,2272.3820623094566,701.2593199587845,0.0,311111111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131111111.0,2077777776.0,0.0,2955341865.0,0.0,0.0,0.0,0.0,1931111111.0,2077777776.0,2399500000.0,11550196344.0,0.0,0.0,0.0,27300000.0,204066666660.0,83111111089.99998,30482548171.03135,182312374048.96863,10.000000000000002,10.000000000000002,10.000000000000002,27300000.0,64511111110.0,10.000000000000002,7500000.0,150000.00000000003,10.000000000000002,10.000000000000002,10.000000000000002
7,4.7,8.3,4.5,2.733,2045.0,0.08,0.17,800000000.0,-0.008,0.033,0.017,0.15,0.072,0.028,0.05,-0.181,1000000000000.0,2955555555.556,300000000.0,12600000000.0,6666666666.667,9000000000.0,3555555555.556,1000000000.0,600000000.0,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.233,8.3,4.5,4.767,2040.0,0.09,0.04,900000000.0,-0.119,-0.033,0.083,0.05,0.139,-0.039,0.033,-0.157,700000000000.0,5822222222.222,1000000000.0,4666666666.667,11666666666.667,8000000000.0,2888888888.889,11888888888.889,2077777777.778,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,700000000000.0,9574185692536.012,4400000000.0,591342122.3069012,4666666666.0,5000000000.0,1.0,1.0,9767592150.863647,2077777777.0,611666666.64,438635558915.835,200446.70257656657,2935.1044991421654,1132.8762605002862,0.0,800000000.0,844444444.0,0.0,0.0,0.0,0.0,0.0,4664846666.0,1620000000.0,2077777776.0,0.0,2499989999.0,0.0,0.0,0.0,4664846666.0,2420000000.0,2077777776.0,590842122.0,4999990000.0,0.0,9767592150.0,0.0,150860633310.00003,235400000000.0,91555555540.0,5920921223.069012,112500149995.0,10.000000000000002,103762739911.93098,10.000000000000002,27300000.0,71400000000.0,10.000000000000002,7500000.0,150000.00000000003,10.000000000000002,10.000000000000002,10.000000000000002
9,10.0,2.5,4.5,0.7,2050.0,0.09,0.17,300000000.0,-0.202,-0.05,-0.017,0.094,0.05,0.017,0.0,-0.059,900000000000.0,3911111111.111,5900000000.0,5988888888.889,16666666666.667,2000000000.0,2000000000.0,10333333333.333,1022222222.222,8000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,900000000000.0001,17109079263042.623,3333333333.3333335,5900000000.0,17445191.762423515,4376676667.460001,1.0,2000000000.0,10333333333.000002,1022222222.0,300000000.0,300000500038.5,113441.09705687132,3325.51927014184,1093.0953181746977,0.0,1353333333.0,1022222221.0,0.0,25736102.0,0.0,0.0,0.0,15625192.0,1353333333.0,1022222221.0,5899500000.0,779204704.0,0.0,9303290865.0,0.0,15625192.0,1353333333.0,1022222221.0,5899500000.0,4376666667.0,1999999999.0,10333333332.0,0.0,376203835.24847037,234393081232.91833,76666666660.0,172507499995.0,56507185263.73303,40000000010.0,319549362993.1003,10.000000000000002,27300000.0,83233333333.33333,25555555560.0,7500000.0,44211589.39999954,10.000000000000002,10.000000000000002,10.000000000000002
