future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030.0,0.07,0.04,200000000.0,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000.0,2000000000.0,300000000.0,700000000.0,5000000000.0,1000000000.0,2000000000.0,1000000000.0,600000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,400000000000.0,8244578083244.187,2000000000.0,300000000.0,1820000.0000000002,4000000000.0,1.0,2000000000.0,698252498.2500004,600000000.0,163200000.0,101443883743.875,72996.56111074323,954.77889022,356.94669004499997,0.0,20000000.0,599999999.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,3999990000.0,1999999999.0,698252497.0,0.0,27300000.0,150000000000.0,33000000010.0,10507500000.0,172500149995.0,20000000010.0,13965049975.000002,10.000000000000002
1,4.7,2.5,8.5,6.8,2030.0,0.07,0.04,200000000.0,-0.063,-0.05,-0.05,0.106,0.139,0.028,0.083,-0.132,500000000000.0,6300000000.0,4500000000.0,7311111111.111,11666666666.667,6000000000.0,3777777777.778,13444444444.444,600000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,499999999999.99994,7176999745028.478,2551055470.3935795,500000.0,1820000.0000000002,4000000000.0,1.0,1.0,12990169592.659422,600000000.0,200000000.0,528478481875.0,79822.52857632669,882.6149751329409,346.20016572450436,0.0,0.0,599999999.0,0.0,0.0,0.0,0.0,0.0,0.0,545714286.0,599999999.0,0.0,3805831883.0,0.0,0.0,0.0,0.0,571055470.0,599999999.0,0.0,3999990000.0,0.0,12990169592.0,0.0,27300000.0,164669563066.25363,33000000010.0,7500000.0,104029359410.3022,10.000000000000002,198266277493.44418,10.000000000000002
2,4.7,8.3,4.5,2.733,2040.0,0.08,0.04,300000000.0,-0.119,-0.05,-0.117,0.05,0.05,-0.05,0.0,-0.083,1000000000000.0,6300000000.0,4500000000.0,11277777777.778,15000000000.0,9000000000.0,3111111111.111,1000000000.0,1444444444.444,8000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,1000000000000.0,24252979855325.215,3579999999.0000005,4500000000.0,1724421914.6539817,8000000000.0,1.0,3111111111.0000005,1000000000.0,1444444444.0,300000000.00000006,271664999997.5,138593.5555443257,5044.90873369369,1630.1268672522333,1402309017.0,1599999999.0,1444444443.0,4499500000.0,748397384.0,0.0,0.0,0.0,1722601915.0,1599999999.0,1444444443.0,4499500000.0,6285100123.0,0.0,999999999.0,0.0,1722601915.0,1599999999.0,1444444443.0,4499500000.0,7999990000.0,3111111110.0,999999999.0,0.0,39488918975.37203,238499999945.0,108333333310.0,276243664552.6635,245243052887.37234,52191030309.592224,40000000010.0,10.000000000000002
3,4.7,8.3,8.5,4.767,2035.0,0.09,0.04,500000000.0,-0.036,0.067,-0.017,0.094,0.083,-0.017,-0.033,-0.181,600000000000.0,5344444444.444,5900000000.0,8633333333.333,11666666666.667,6000000000.0,2888888888.889,2555555555.556,2077777777.778,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,600000000000.0,7631075333226.358,4400000000.000001,5000000000.157783,908333333.4299982,11666666666.0,1.0,1.0,1.0,2077777777.0,500000000.0,274166666650.99997,103768.7972739706,2396.0700007153864,755.8933565969701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820000000.0,2077777776.0,0.0,6124814222.0,0.0,0.0,0.0,906513333.0,2420000000.0,2077777776.0,4999500000.0,11666656666.0,0.0,0.0,0.0,18193966668.599964,191400000000.0,83111111089.99998,37507500007.36674,269787422204.0333,10.000000000000002,10.000000000000002,10.000000000000002
4,8.233,6.367,8.5,4.767,2050.0,0.09,0.17,900000000.0,-0.008,0.1,-0.083,0.15,0.139,0.028,0.05,-0.059,800000000000.0,6300000000.0,5200000000.0,11277777777.778,15000000000.0,6000000000.0,2222222222.222,15000000000.0,2500000000.0,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,800000000000.0,11594763715004.61,4400000000.0,5200000000.0,2888565491.83967,2658951197.161909,1.0,1.0,9903923032.396475,2500000000.0,900000000.0,300000411748.17,166866.37932268795,5361.94492337335,1627.695577690527,0.0,1599999999.0,2499999999.0,0.0,0.0,0.0,0.0,0.0,0.0,2419999999.0,2499999999.0,4799499999.0,1737440868.0,0.0,0.0,0.0,2886745492.0,2420000000.0,2499999999.0,5199500000.0,2658941197.0,0.0,9903923031.0,0.0,55855782377.59505,279399999945.0,168744252694.7246,139507499990.0,61866428280.80286,10.000000000000002,94626036691.8775,10.000000000000002
5,8.233,4.433,12.5,4.767,2035.0,0.08,0.04,300000000.0,0.02,-0.05,-0.017,0.128,0.094,0.017,-0.017,-0.206,400000000000.0,3911111111.111,4500000000.0,4666666666.667,8333333333.333,10000000000.0,2888888888.889,5666666666.667,1444444444.444,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,400000000000.0,5194765652547.314,3145833333.3575,500000.0,1820000.0000000002,8333333333.000001,1.0,1.0,1.0,1444444444.0,300000000.0,343041666652.94507,78236.72398336387,1086.8914390001341,383.9834897966972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365833333.0,904545181.0,0.0,4787744446.0,0.0,0.0,0.0,0.0,1165833333.0,1444444443.0,0.0,8333323333.0,0.0,0.0,0.0,27300000.0,160691666667.87503,42457066621.166046,7500000.0,196816466680.95892,10.000000000000002,10.000000000000002,10.000000000000002
6,10.0,8.3,8.5,2.733,2035.0,0.09,0.04,1000000000.0,-0.119,0.083,-0.15,0.094,0.083,0.028,-0.017,-0.23,600000000000.0,2000000000.0,5900000000.0,8633333333.333,5000000000.0,9000000000.0,2666666666.667,2555555555.556,2077777777.778,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,600000000000.0,9486831630537.996,2000000000.0,5900000000.0,1820000.0000000002,5000000000.0,1.0,2666666666.0000005,2555555555.0,2077777777.0,209000000.0,398254999964.075,72898.77908058556,3026.91385067217,901.6463112548611,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,2077777776.0,2683935095.0,4530488028.0,0.0,0.0,0.0,0.0,20000000.0,2077777776.0,5899500000.0,4999990000.0,2666666665.0,2555555554.0,0.0,27300000.0,149900000000.0,83111111089.99998,128774026425.87451,156886982203.56598,42967246935.55941,38333333335.0,10.000000000000002
7,4.7,6.367,12.5,2.733,2040.0,0.08,0.105,200000000.0,-0.119,0.033,0.117,0.117,0.139,-0.017,-0.017,-0.034,900000000000.0,4388888888.889,6600000000.0,9955555555.556,13333333333.333,7000000000.0,2444444444.444,4111111111.111,811111111.111,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,900000000000.0001,19147774387821.785,2479661742.5644684,6600000000.0,502795580.0943465,4000000000.0,1.0,2444444444.0000005,4111111111.0000005,811111111.0000002,200000000.0,302956111081.81506,90159.74531959822,4377.5447126718445,1442.5163710863148,500975580.0,499661743.0,811111110.0,5714052221.0,748397385.0,0.0,0.0,0.0,500975580.0,499661743.0,811111110.0,6599500000.0,3999990000.0,178988073.0,4111111110.0,0.0,500975580.0,499661743.0,811111110.0,6599500000.0,3999990000.0,2444444443.0,4111111110.0,0.0,10083211601.886932,173686469697.57874,60833333335.00001,345225783317.1989,159251427990.21277,43697551823.1228,107222222225.0,10.000000000000002
8,8.233,4.433,12.5,2.733,2040.0,0.07,0.17,1000000000.0,-0.008,0.1,0.05,0.083,0.061,0.017,-0.05,-0.132,1100000000000.0,5822222222.222,3800000000.0,3344444444.444,16666666666.667,4000000000.0,3777777777.778,1000000000.0,1866666666.667,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,1100000000000.0,21546075206023.754,4400000000.0,3800000000.0,3344444444.0000005,10319201977.391714,1.0,2889752.432000124,1000000000.0,1866666666.0000005,936406926.948872,438635558926.32996,267404.4858640485,6137.611048142169,2202.894338291217,3342624444.0,1599999999.0,1866666665.0,3799500000.0,427240096.0,0.0,0.0,0.0,3342624444.0,2419999999.0,1866666665.0,3799500000.0,3919952701.0,0.0,0.0,0.0,3342624444.0,2420000000.0,1866666665.0,3799500000.0,10319191977.0,2889751.0,999999999.0,0.0,229916188855.0,279399999945.0,139999999960.00003,219944077682.67297,210725284765.167,14448772.160000619,20000000010.0,10.000000000000002
9,8.233,8.3,0.5,4.767,2045.0,0.08,0.04,800000000.0,-0.091,0.05,-0.117,0.117,0.072,0.006,-0.017,-0.181,400000000000.0,4388888888.889,1000000000.0,3344444444.444,10000000000.0,6000000000.0,3555555555.556,11888888888.889,1233333333.333,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0,1,400000000000.0,5268828473897.653,4388888888.000001,1000000000.0,1820000.0000000002,9072659065.682861,1.0,1.0,1.0,1233333333.0000005,403732533.6209606,373476010438.835,96535.86925446602,1356.767030351821,488.15539367993165,0.0,143111672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963111672.0,1233333332.0,0.0,2499990005.0,0.0,0.0,0.0,0.0,2408888888.0,1233333332.0,999500000.0,9072649066.0,0.0,0.0,0.0,27300000.0,199215586412.4431,49333333330.00001,10007500000.0,141416280227.55695,10.000000000000002,10.000000000000002,10.000000000000002
