future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030,0.07,0.04,200000000,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000,2000000000,300000000,700000000,5000000000,1000000000,2000000000,1000000000,600000000,4000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,400000000000.0,7741290073693.113,2000000000.0,300000000.0,700000000.0,5000000000.0,1.0,2000000000.0,1.0,600000000.0,197000000.0,122500000000.0,81032.0392929665,792.2838902199999,347.426690045,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,599999999.0,299500000.0,4999990000.0,0.0,0.0,0.0,698180000.0,20000000.0,599999999.0,299500000.0,4999990000.0,1999999999.0,0.0,0.0,14027300000.0,149900000000.0,24000000010.0,7507500000.0,184565199960.0,20000000010.0,10.000000000000002,10.000000000000002
1,4.7,8.3,12.5,4.767,2045,0.08,0.17,1000000000,-0.23,-0.033,0.017,0.094,0.083,-0.028,0.033,-0.034,1100000000000,5440000000,1560000000,700000000,15500000000,1900000000,2400000000,1000000000,2310000000,20000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.0,8.3,0.5,2.733,2045,0.08,0.17,600000000,-0.23,0.083,0.017,0.139,0.106,-0.05,-0.017,-0.083,500000000000,3290000000,5340000000,5460000000,17000000000,2800000000,3200000000,5200000000,2120000000,4000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,499999999999.99994,6231027226076.332,3290000000.0,5340000000.0,1776470247.0194757,7469521975.5733,1.0,1.0,1.0,2120000000.0,600000000.0,373476098778.665,106202.2472858303,3179.691040757629,962.5030777996642,0.0,0.0,2119999999.0,0.0,0.0,0.0,0.0,0.0,48316291.0,730084457.0,2119999999.0,0.0,2189106287.0,0.0,0.0,0.0,1774650247.0,1310000000.0,2119999999.0,5339500000.0,7469511976.0,0.0,0.0,0.0,35556704940.38951,177153378290.47797,106000000010.0,64207499990.0,117082416739.13252,10.000000000000002,10.000000000000002,10.000000000000002
3,6.467,2.5,4.5,6.8,2030,0.07,0.17,400000000,-0.202,0.1,-0.083,0.117,0.05,-0.028,0.0,-0.01,1000000000000,2430000000,3450000000,10220000000,12500000000,2800000000,3000000000,1000000000,1170000000,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,999999999999.9999,19566562236502.383,2430000000.0,3450000000.0,1598064282.108151,12500000000.0,1.0,3000000000.0,1000000000.0,1170000000.0,400000000.0,505687500000.0,130428.17598237155,4167.6477587214595,1392.009393506472,1523875111.0,450000000.0,1169999999.0,3449500000.0,1407605013.0,0.0,0.0,0.0,1596244282.0,450000000.0,1169999999.0,3449500000.0,8977965587.0,430999236.0,0.0,0.0,1596244282.0,450000000.0,1169999999.0,3449500000.0,12499990000.0,2999999999.0,999999999.0,0.0,71427143477.22502,182199999995.0,87750000010.0,214258663604.1637,384639914977.5785,47763314615.44443,11960963310.588236,10.000000000000002
4,10.0,6.367,12.5,2.733,2030,0.07,0.04,600000000,-0.063,0.017,-0.05,0.061,0.094,-0.05,0.083,-0.23,900000000000,4580000000,930000000,10220000000,15500000000,6400000000,3000000000,10800000000,1550000000,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,900000000000.0,14122293804603.072,4400000000.0,930000000.0,6455944422.870601,7499999999.0,1.0,1.0,10800000000.0,1550000000.0,600000000.0,522581999950.0,202164.64551645037,2321.720110534621,1003.6845776597536,0.0,1599999999.0,0.0,0.0,0.0,0.0,0.0,0.0,1454124423.0,2419999999.0,1549999999.0,929500000.0,2499990000.0,0.0,9170506836.0,0.0,6454124423.0,2420000000.0,1549999999.0,929500000.0,7499989999.0,0.0,10799999999.0,0.0,116646188457.412,279399999945.0,62000000010.0,23257500000.0,135991243188.90001,10.000000000000002,282705068378.688,10.000000000000002
5,6.467,8.3,8.5,2.733,2045,0.07,0.04,1000000000,-0.23,0.033,-0.017,0.083,0.106,-0.05,0.1,-0.108,700000000000,5440000000,3450000000,3080000000,18500000000,1000000000,2800000000,10800000000,600000000,16000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,700000000000.0,10033960831478.857,4400000000.0,3450000000.0,3080000000.0,6986049858.316529,1.0,1.0,10800000000.0,600000000.0,471719089.1782359,373475922168.6649,159578.28013943118,1903.832307879867,840.9494968932855,0.0,1200000000.0,599999999.0,0.0,0.0,0.0,0.0,0.0,152651592.0,2020000000.0,599999999.0,949500000.0,3385041422.0,0.0,0.0,0.0,3078180000.0,2420000000.0,599999999.0,3449500000.0,6986039858.0,0.0,10799999999.0,0.0,61044373874.38774,257400000000.0,36000000010.0,73757499999.99997,130798126085.6123,10.000000000000002,141000000010.0,10.000000000000002
6,4.7,8.3,12.5,6.8,2045,0.07,0.04,400000000,-0.202,-0.017,0.15,0.128,0.061,-0.05,0.033,-0.206,400000000000,4150000000,2190000000,4270000000,8000000000,2800000000,2600000000,5200000000,1360000000,8000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,400000000000.0,4985323597421.698,2611428571.4285717,500000.0,4270000000.0,8000000000.0,1.0,1.0,1.0,1360000000.0,400000000.0,188000000000.0,113885.44980837636,1107.795747969643,528.2159728321428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368256426.0,0.0,0.0,0.0,2499989999.0,0.0,0.0,0.0,4268180000.0,631428571.0,1359999999.0,0.0,7999990000.0,0.0,0.0,0.0,90278064260.7143,127514285714.2857,27200000010.0,7500000.0,155000149985.0,10.000000000000002,10.000000000000002,10.000000000000002
7,8.233,6.367,0.5,2.733,2050,0.07,0.04,400000000,-0.008,0.05,-0.017,0.139,0.072,-0.017,-0.033,-0.034,900000000000,4150000000,5970000000,11410000000,17000000000,6400000000,3600000000,8000000000,1170000000,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,899999999999.9999,15440402354125.996,3579999999.0000005,5970000000.0,5729292537.068505,7040353256.3351755,1.0,3600000000.0,86664464.02945065,1170000000.0,400000000.0,300000411698.0,213602.57781780223,4703.698802757777,1760.083114608236,0.0,1599999999.0,1169999999.0,0.0,160140061.0,0.0,0.0,0.0,4229188982.0,1599999999.0,1169999999.0,5969500000.0,1737440866.0,0.0,0.0,0.0,5727472537.0,1599999999.0,1169999999.0,5969500000.0,7040343256.0,3599999999.0,86664463.0,0.0,182028516713.20374,225573348161.05472,87750000010.0,216607499990.0,114307345815.15245,72000000010.0,1733289290.589013,10.000000000000002
8,4.7,2.5,12.5,4.767,2040,0.07,0.04,200000000,-0.091,-0.033,-0.05,0.05,0.106,-0.006,-0.033,-0.108,700000000000,4580000000,4080000000,3080000000,15500000000,6400000000,2000000000,10800000000,1550000000,4000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,1,700000000000.0,11413552370786.863,2857142857.142857,4080000000.0,1820000.0000000002,12500000000.0,1.0,2000000000.0,1.0,1550000000.0,200000000.00000027,418750000000.0,87108.11077242083,3360.301584399513,966.8533176419298,0.0,877142857.0,1549999999.0,0.0,0.0,0.0,0.0,0.0,0.0,877142857.0,1549999999.0,2892468203.0,6866589486.0,0.0,0.0,0.0,0.0,877142857.0,1549999999.0,4079500000.0,12499990000.0,1999999999.0,0.0,0.0,27300000.0,178188738420.63754,108500000010.0,98037182034.13507,296665137148.7606,18581642366.466812,10.000000000000002,10.000000000000002
9,6.467,6.367,12.5,2.733,2050,0.07,0.17,1000000000,-0.036,0.017,0.083,0.094,0.139,-0.028,0.05,-0.108,1000000000000,3720000000,4080000000,700000000,5000000000,1000000000,2000000000,3800000000,600000000,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000,0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
