future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS
0,4.7,2.5,0.5,0.7,2030,0.07,0.04,200000000,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,4E+11,2000000000,300000000,700000000,5000000000,1000000000,2000000000,1000000000,600000000,4000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000
1,6.467,6.367,12.5,6.8,2040,0.09,0.17,200000000,-0.036,0,0.05,0.139,0.15,-0.017,-0.033,-0.083,5E+11,6300000000,300000000,700000000,6666666667,3000000000,3111111111,10333333333,2500000000,16000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000
2,6.467,2.5,8.5,2.733,2035,0.07,0.105,300000000,-0.063,0.05,0.15,0.05,0.117,0.05,-0.017,-0.132,4E+11,2477777778,4500000000,8633333333,8333333333,8000000000,3777777778,2555555556,2288888889,8000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000
3,8.233,6.367,8.5,2.733,2040,0.07,0.17,900000000,-0.091,-0.017,0.117,0.15,0.128,0.028,0.083,-0.157,1E+12,5344444444,5900000000,11277777778,10000000000,2000000000,2444444444,15000000000,2077777778,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000
4,10,8.3,12.5,0.7,2050,0.09,0.04,700000000,-0.147,-0.033,-0.017,0.117,0.072,-0.006,0.1,-0.23,7E+11,3433333333,1000000000,9955555556,13333333333,1000000000,2222222222,7222222222,600000000,20000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000
5,8.233,2.5,4.5,6.8,2050,0.07,0.105,400000000,-0.008,0.033,-0.117,0.106,0.083,-0.039,-0.05,-0.181,1.1E+12,2000000000,6600000000,7311111111,18333333333,4000000000,2888888889,1000000000,1655555556,8000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000
6,10,4.433,0.5,4.767,2035,0.07,0.17,800000000,-0.174,0.017,-0.083,0.128,0.05,-0.028,0,-0.034,5E+11,4866666667,5200000000,4666666667,11666666667,9000000000,4000000000,13444444444,811111111.1,20000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000
7,4.7,4.433,0.5,6.8,2030,0.08,0.04,300000000,-0.202,0.083,-0.05,0.094,0.061,-0.05,0.067,-0.108,6E+11,4388888889,3800000000,3344444444,20000000000,6000000000,3555555556,4111111111,1866666667,4000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000
8,8.233,2.5,0.5,2.733,2030,0.09,0.105,1000000000,-0.23,0.067,0.083,0.083,0.094,0.017,0.033,-0.059,8E+11,2955555556,1700000000,5988888889,5000000000,10000000000,2666666667,5666666667,1444444444,16000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000
9,4.7,8.3,12.5,4.767,2045,0.08,0.04,600000000,-0.119,-0.05,-0.15,0.061,0.139,0.006,0.017,-0.01,1E+12,3911111111,2400000000,2022222222,16666666667,5000000000,3333333333,8777777778,1022222222,12000000000,0,0,0,0,0,0.0058,0.0058,0,0,0,50,115,60,60,900,130,115,35,100,205,570,2000,2000,215,465,1,1980000000,500000,1820000,10000,1,1,1,1,80000000,500000000,500000000,500000000,500000000,1000000000,1000000000,1000000000
